# fastcdc min=524288 avg=2097152 max=8388608 maskS=0x7fffff maskL=0x7ffff
# input: 64 MiB of crypto.DeterministicReader("golden-boundaries")
# offset length
0 2458356
2458356 2119394
4577750 3076911
7654661 3043681
10698342 2481178
13179520 2217129
15396649 773982
16170631 2156838
18327469 611119
18938588 2186074
21124662 1689587
22814249 2325879
25140128 2781002
27921130 2748771
30669901 2522647
33192548 2288289
35480837 2540506
38021343 2264010
40285353 1422540
41707893 1249305
42957198 1170921
44128119 2186880
46314999 2583916
48898915 2417533
51316448 2199785
53516233 2186143
55702376 2178651
57881027 2412618
60293645 2454287
62747932 2260994
65008926 2099938
